#{"t_start": 1729009905.8080766, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,195,6.762088
2.0,242,8.848424
2.0,220,10.411422
1.0,199,13.818395
0.0,157,14.86499
2.0,248,16.840191
0.0,181,18.032319
1.0,211,20.404778
5.0,384,23.75904
3.0,266,26.97394
0.0,155,28.043878
1.0,209,29.388356
7.0,364,33.514673
2.0,236,35.223832
2.0,219,36.937379
3.0,310,40.490623
2.0,224,42.141282
0.0,153,43.109323
3.0,265,46.175076
0.0,175,47.25078
2.0,240,48.903938
3.0,286,52.31454
5.0,345,55.079056
1.0,197,56.457295
2.0,256,59.49383
1.0,214,61.032253
2.0,250,62.83172
2.0,247,65.997128
0.0,158,66.967944
3.0,273,69.084512
1.0,207,71.518147
0.0,167,72.643005
1.0,199,74.040377
1.0,209,75.472261
0.0,165,76.481443
5.0,350,80.379791
2.0,224,82.104832
0.0,159,83.152737
0.0,155,85.22096
1.0,192,86.642887
3.0,293,89.154808
3.0,299,92.684502
3.0,286,94.902404
1.0,195,96.207503
0.0,161,98.266922
0.0,183,99.387089
2.0,242,101.19324
1.0,204,102.60164
1.0,190,105.082765
1.0,176,106.419895
1.0,220,108.045645
4.0,349,112.085288
3.0,291,114.285156
1.0,192,115.609364
4.0,320,119.407486
0.0,155,120.459824
3.0,294,123.797521
1.0,227,125.259195
2.0,229,127.117397
0.0,167,128.080016
5.0,344,132.135109
2.0,241,133.933848
1.0,213,136.375485
1.0,211,137.778017
2.0,249,139.595473
2.0,253,141.614782
3.0,285,144.885895
6.0,285,147.123111
0.0,182,148.116175
1.0,215,150.725089
1.0,195,152.085017
1.0,214,153.69072
1.0,206,156.159196
2.0,218,157.910855
2.0,222,159.458988
2.0,241,161.189079
3.0,274,164.263018
1.0,189,166.968279
1.0,203,168.448877
4.0,322,172.233038
1.0,206,173.571477
1.0,191,175.162069
2.0,227,177.966719
0.0,155,179.01113
2.0,255,180.950938
3.0,275,184.217685
1.0,205,185.634345
1.0,196,187.032186
3.0,312,190.5701
0.0,153,191.60756
1.0,210,193.110867
2.0,255,194.937832
0.0,173,197.178353
1.0,202,198.789264
1.0,195,200.306809
1.0,190,201.68082
3.0,265,204.882541
1.0,218,206.484903
0.0,175,207.59129
0.0,176,208.774437
1.0,216,211.33691
3.0,276,213.550234
1.0,201,214.939212
2.0,246,218.020404
3.0,271,220.249066
3.0,258,223.411114
1.0,208,224.911223
