#{"t_start": 1729012079.7638233, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0.9856,2,1.924324
0.9856,2,1.935101
0.0,12,1.988002
0.2512,104,2.474687
0.0,57,3.897442
0.8992,14,3.960832
0.0,56,4.220319
0.9856,2,4.229089
0.0,115,6.501828
0.7336,37,7.646011
0.0,56,7.899042
0.0,125,9.379853
0.0,125,11.716499
0.0,4,11.73509
0.892,15,11.802119
0.8632,19,11.884481
0.9496,7,11.914987
0.0,15,11.980555
0.1072,124,13.49808
0.0,16,14.479439
0.7912,29,14.621448
0.0,45,14.833876
0.9928,1,14.838811
0.0,8,14.873605
0.0,7,14.904211
0.1864,113,17.142975
0.0,25,17.255445
0.9784,3,17.269026
0.964,5,17.292615
0.9712,4,17.309918
0.5608,61,18.474331
0.0,24,18.581456
0.0,26,18.702553
0.0,76,19.948768
0.8416,22,20.051844
0.9784,3,20.066737
0.0,7,20.100424
0.928,10,20.145666
0.0,41,21.223239
0.0,24,21.335153
0.28,100,23.467356
0.0,4,23.492527
0.9712,4,23.520092
0.0,87,23.996235
0.7984,28,24.119326
0.496,70,25.347733
0.0,4,25.369366
0.8416,22,25.470854
0.8632,19,25.558115
0.0,3,25.571236
0.8848,16,26.538639
0.9784,3,26.552733
0.9784,3,26.567153
0.0,25,26.684269
0.0,64,26.975239
0.7984,28,28.869812
0.964,5,28.97684
0.9208,11,29.024563
0.8632,19,29.109468
0.0,17,29.188509
0.9784,3,29.20218
0.9136,12,29.256021
0.3592,89,30.574912
0.0,2,30.586025
0.5968,56,30.844053
0.8776,17,30.921545
0.6328,51,32.104739
0.0,19,32.192334
0.0,3,32.207531
0.9568,6,32.236688
0.9568,6,32.264377
0.712,40,32.445362
0.0,45,34.382126
0.0,13,34.445295
0.0,24,34.556824
0.9784,3,34.571515
0.7768,31,34.711879
0.0,2,34.721188
0.0,18,34.805639
0.5896,57,35.97037
0.9568,6,35.997375
0.9784,3,36.01308
0.0,4,36.033385
0.9928,1,36.038457
0.8848,16,36.108961
0.0,26,36.227508
0.0,31,36.366616
0.0,8,37.305585
0.8848,16,37.381863
0.0,3,37.397105
0.8128,26,37.519184
0.964,5,37.542509
0.9568,6,37.570271
0.9928,1,37.576019
0.568,60,37.853334
0.0,2,37.864696
0.0,1,37.870257
0.7048,41,39.834694
0.9928,1,39.839671
0.8632,19,39.928047
0.0,5,39.951563
0.8776,17,40.029613
0.0,30,40.169019
0.9352,9,40.209313
0.9352,9,40.251438
0.0,4,41.19053
0.7048,41,41.379972
0.7192,39,41.560539
0.7696,32,41.710371
0.0,13,42.644791
0.9928,1,42.649863
0.3304,93,43.075879
0.9352,9,43.118569
0.7696,32,44.511371
0.6832,44,45.079672
0.5608,61,45.538311
0.0,6,45.566711
0.0,3,45.581937
0.9568,6,45.609695
0.0,8,46.547405
0.7984,28,46.673451
0.0,1,46.67921
0.9136,12,46.731565
0.0,22,46.829252
0.9928,1,46.835471
0.9568,6,46.862892
0.0,1,46.867694
0.0,2,46.87768
0.5608,61,48.087244
0.0,22,48.189608
0.0,4,48.209336
0.9784,3,48.222974
0.9712,4,48.242615
0.0,15,48.312443
0.7696,32,48.461507
0.0,69,49.918378
0.0,21,50.204891
0.0,20,50.494242
0.568,60,51.934759
0.5752,59,52.229936
0.7408,36,52.39434
0.6832,44,53.498854
0.0,8,53.536621
0.0,33,53.69166
0.9712,4,53.712026
0.0,25,53.827381
0.0,38,53.999251
0.0,43,55.138393
0.0,33,55.29178
0.7984,28,55.615216
0.8848,16,55.835886
0.0,9,55.956131
0.0,50,57.492387
0.0,9,57.534793
0.0,19,57.623379
0.0,7,57.65502
0.9208,11,57.707241
0.0,125,59.167949
0.9856,2,59.179141
0.0,9,59.222435
0.0,2,59.232757
0.0,22,59.339792
0.0,3,60.223746
0.0,17,60.310396
0.9712,4,60.329798
0.9856,2,60.339627
0.0,1,60.344471
0.0,15,60.415602
0.9352,9,60.458077
0.8344,23,60.567668
0.0,53,60.815244
0.7984,28,62.694508
0.856,20,62.789522
0.0,6,62.817804
0.0,35,62.979531
0.0,104,64.370764
0.9928,1,64.375753
0.7768,31,64.527026
0.9712,4,64.546242
0.0,8,64.585584
0.0,107,66.018197
0.0,40,66.208
0.8848,16,68.032233
0.7192,39,68.21138
0.8632,19,68.299016
0.7552,34,68.457045
0.0,19,68.546011
0.0,2,68.555558
0.9352,9,69.535357
0.9496,7,69.567117
0.0,15,69.638969
0.892,15,69.71195
0.208,110,71.204669
0.8056,27,71.325352
0.0,27,71.448801
0.9496,7,71.482842
0.8128,26,71.599096
0.64,50,73.589056
0.8488,21,73.685885
0.7984,28,73.815103
0.9856,2,73.825865
0.9496,7,73.858332
0.0,11,73.910249
0.0,5,73.933328
0.0,20,74.991188
0.0,2,75.004755
0.0,25,75.165068
0.9928,1,75.171721
0.9784,3,75.186968
0.8056,27,75.313289
0.9784,3,75.327588
0.8776,17,75.458031
0.8992,14,75.522284
0.9784,3,75.537919
0.9856,2,75.546801
0.7696,32,76.648976
0.9856,2,76.661596
0.0,1,76.66949
0.7336,37,76.887391
0.0,25,77.002024
0.0,4,77.021218
0.8272,24,77.149478
0.6688,46,79.14232
0.964,5,79.166964
