#{"t_start": 1729092629.913124, "env_id": "roundabout-v0"}
r,l,t
1.916667,3,4.400415
9.333333,11,15.404244
5.916667,7,22.419918
1.833333,3,25.444913
9.083333,11,36.516597
7.083333,8,44.52043
1.791667,3,47.595546
9.208333,11,58.669274
4.791667,6,64.783266
10.375,11,76.015045
2.916667,4,80.095786
1.125,2,82.167013
1.125,2,84.240629
7.291667,9,93.349321
10.833333,11,104.345075
9.625,11,115.445745
9.416667,11,126.576078
10.541667,11,137.808997
3.041667,4,141.801113
6.875,8,149.893513
9.166667,11,161.074301
1.166667,2,163.082262
9.458333,11,174.128464
3.625,5,179.254604
9.0,11,190.29503
9.125,11,201.384777
1.0,2,203.450793
10.083333,11,214.652336
2.916667,4,218.749392
2.958333,4,222.724794
6.583333,8,230.800026
9.208333,11,241.925164
9.958333,11,253.016029
1.958333,3,256.014949
1.833333,3,259.020333
10.541667,11,273.682244
4.0,5,278.802487
9.291667,11,289.959491
6.791667,8,298.110832
9.333333,11,309.219802
9.666667,11,320.402382
10.5,11,331.452444
10.791667,11,342.666958
1.125,2,344.656754
4.833333,6,350.74501
10.041667,11,361.83566
9.083333,11,373.020257
9.75,11,384.204285
9.0,11,395.255694
9.875,11,406.385698
6.458333,8,414.472526
10.583333,11,425.551859
9.541667,11,436.505502
3.791667,5,441.607375
9.666667,11,452.674941
9.708333,11,463.721467
1.791667,3,466.745809
10.291667,11,477.852986
10.041667,11,488.956616
9.291667,11,499.995394
7.416667,9,509.172724
5.958333,7,516.24824
10.333333,11,529.884101
9.166667,11,540.944924
9.791667,11,552.114139
10.333333,11,563.130384
9.208333,11,574.18003
1.083333,2,576.215139
9.416667,11,587.463833
8.958333,11,598.533945
9.208333,11,609.620797
9.708333,11,620.781483
10.333333,11,631.917719
9.583333,11,643.016187
9.583333,11,654.206497
1.0,2,656.236761
10.375,11,667.290475
9.291667,11,678.459903
10.791667,11,689.586177
9.208333,11,700.722954
9.375,11,711.867997
9.333333,11,723.129498
9.208333,11,734.288014
5.625,7,741.291297
9.875,11,752.487942
8.333333,10,762.601395
9.5,11,773.634048
9.833333,11,787.491745
9.333333,11,798.681719
10.333333,11,809.757998
10.0,11,820.882209
9.25,11,832.075591
9.291667,11,843.161931
5.75,7,850.181993
9.5,11,861.466603
9.625,11,872.752246
9.708333,11,883.8125
1.041667,2,885.818794
10.541667,11,896.954958
9.541667,11,908.093337
3.958333,5,913.152528
9.541667,11,924.280702
9.041667,11,935.379614
9.333333,11,946.490152
9.625,11,957.517591
9.875,11,968.593075
9.166667,11,979.704056
5.166667,6,985.839244
9.625,11,996.872023
9.333333,11,1008.061934
3.75,5,1013.066056
9.625,11,1024.224583
9.791667,11,1035.37313
9.291667,11,1049.482044
10.041667,11,1060.600804
9.791667,11,1071.679182
9.291667,11,1082.787744
9.333333,11,1093.833121
9.666667,11,1104.964228
9.833333,11,1116.087689
9.708333,11,1127.299782
10.166667,11,1138.356568
10.833333,11,1149.446183
9.833333,11,1160.582205
10.666667,11,1171.602648
9.125,11,1182.604433
9.083333,11,1193.709207
8.291667,10,1203.79296
1.125,2,1205.798269
5.583333,7,1212.830342
1.083333,2,1214.835239
9.958333,11,1226.027788
10.375,11,1237.136562
10.166667,11,1248.199317
1.166667,2,1250.187559
4.833333,6,1256.262691
10.125,11,1267.3947
9.333333,11,1278.526754
4.875,6,1284.472511
9.0,11,1295.568624
9.291667,11,1306.646233
5.708333,7,1317.107682
